source,kind,dataset,spearman,n_pairs,n_total,vocab
C8_dinov3l_grid4x4_rand_10000_s2,model,rg65,,1,65,942
C8_dinov3l_grid4x4_rand_10000_s2,model,MTest-3000,0.09798288139774992,366,3000,942
C8_dinov3l_grid4x4_rand_10000_s2,model,SimVerb-3500,0.10245433413111696,269,3500,942
C8_dinov3l_grid4x4_rand_10000_s3,model,wordsim353,,19,352,935
C8_dinov3l_grid4x4_rand_10000_s3,model,simlex999,-0.027367242750036845,79,999,935
C8_dinov3l_grid4x4_rand_10000_s3,model,rg65,,2,65,935
C8_dinov3l_grid4x4_rand_10000_s3,model,MTest-3000,0.07924001207018308,383,3000,935
C8_dinov3l_grid4x4_rand_10000_s3,model,SimVerb-3500,0.016803184094216498,269,3500,935
C8_dinov3l_grid4x4_rand_10000_s4,model,wordsim353,,15,352,927
C8_dinov3l_grid4x4_rand_10000_s4,model,simlex999,0.13589512098644377,75,999,927
C8_dinov3l_grid4x4_rand_10000_s4,model,rg65,,2,65,927
C8_dinov3l_grid4x4_rand_10000_s4,model,MTest-3000,0.022613920240138315,352,3000,927
C8_dinov3l_grid4x4_rand_10000_s4,model,SimVerb-3500,-0.04203297679131076,249,3500,927
C8_dinov3l_grid4x4_rand_10000_s5,model,wordsim353,,12,352,914
C8_dinov3l_grid4x4_rand_10000_s5,model,simlex999,0.23473808385230815,77,999,914
C8_dinov3l_grid4x4_rand_10000_s5,model,rg65,,0,65,914
C8_dinov3l_grid4x4_rand_10000_s5,model,MTest-3000,0.012816209379085756,340,3000,914
C8_dinov3l_grid4x4_rand_10000_s5,model,SimVerb-3500,0.029542397890414483,270,3500,914
C8_dinov3l_grid4x4_rand_10000_s6,model,wordsim353,,13,352,938
C8_dinov3l_grid4x4_rand_10000_s6,model,simlex999,-0.011148213489969068,77,999,938
C8_dinov3l_grid4x4_rand_10000_s6,model,rg65,,2,65,938
C8_dinov3l_grid4x4_rand_10000_s6,model,MTest-3000,-0.06527834056523968,353,3000,938
C8_dinov3l_grid4x4_rand_10000_s6,model,SimVerb-3500,0.017877466308382578,273,3500,938
C8_dinov3l_grid4x4_rand_10000_s7,model,wordsim353,,19,352,932
C8_dinov3l_grid4x4_rand_10000_s7,model,simlex999,0.18168514164307245,72,999,932
C8_dinov3l_grid4x4_rand_10000_s7,model,rg65,,2,65,932
C8_dinov3l_grid4x4_rand_10000_s7,model,MTest-3000,0.10020020616250791,384,3000,932
C8_dinov3l_grid4x4_rand_10000_s7,model,SimVerb-3500,0.006670250657010399,286,3500,932
C8_dinov3l_grid4x4_rand_300000_s0,model,wordsim353,0.040422399955632016,149,352,6740
C8_dinov3l_grid4x4_rand_300000_s0,model,simlex999,0.023197762336039686,558,999,6740
C8_dinov3l_grid4x4_rand_300000_s0,model,rg65,,17,65,6740
C8_dinov3l_grid4x4_rand_300000_s0,model,MTest-3000,0.09930579843284998,2027,3000,6740
C8_dinov3l_grid4x4_rand_300000_s0,model,SimVerb-3500,-0.003341716156186516,1575,3500,6740
C8_dinov3l_grid4x4_rand_300000_s1,model,wordsim353,0.03390590320529463,140,352,6716
C8_dinov3l_grid4x4_rand_300000_s1,model,simlex999,0.06494895299476829,560,999,6716
C8_dinov3l_grid4x4_rand_300000_s1,model,rg65,,18,65,6716
C8_dinov3l_grid4x4_rand_300000_s1,model,MTest-3000,0.060877776684303615,1994,3000,6716
C8_dinov3l_grid4x4_rand_300000_s1,model,SimVerb-3500,-0.005638220396841232,1541,3500,6716
C8_dinov3l_grid4x4_rand_300000_s2,model,wordsim353,0.24951596289673236,141,352,6716
C8_dinov3l_grid4x4_rand_300000_s2,model,simlex999,-0.03120626793011885,552,999,6716
C8_dinov3l_grid4x4_rand_300000_s2,model,rg65,0.27679580746478233,20,65,6716
C8_dinov3l_grid4x4_rand_300000_s2,model,MTest-3000,0.09955075882713327,1922,3000,6716
C8_dinov3l_grid4x4_rand_300000_s2,model,SimVerb-3500,-0.018657701736923892,1485,3500,6716
C8_dinov3l_grid4x4_rand_300000_s3,model,wordsim353,-0.07884241882892579,143,352,6718
C8_dinov3l_grid4x4_rand_300000_s3,model,simlex999,0.018828522948516446,538,999,6718
C8_dinov3l_grid4x4_rand_300000_s3,model,rg65,0.22048271884555865,24,65,6718
C8_dinov3l_grid4x4_rand_300000_s3,model,MTest-3000,0.08517384878610301,1915,3000,6718
C8_dinov3l_grid4x4_rand_300000_s3,model,SimVerb-3500,0.01360896102138834,1554,3500,6718
C8_dinov3l_grid4x4_rand_300000_s4,model,wordsim353,0.0013935164033867813,141,352,6730
C8_dinov3l_grid4x4_rand_300000_s4,model,simlex999,0.03599271869119007,557,999,6730
C8_dinov3l_grid4x4_rand_300000_s4,model,rg65,,18,65,6730
C8_dinov3l_grid4x4_rand_300000_s4,model,MTest-3000,0.11678591132966008,1978,3000,6730
C8_dinov3l_grid4x4_rand_300000_s4,model,SimVerb-3500,0.05205436144926433,1556,3500,6730
C8_dinov3l_grid4x4_rand_30000_s0,model,wordsim353,0.018139783320824953,37,352,1779
C8_dinov3l_grid4x4_rand_30000_s0,model,simlex999,-0.03074201491576166,175,999,1779
C8_dinov3l_grid4x4_rand_30000_s0,model,rg65,,2,65,1779
C8_dinov3l_grid4x4_rand_30000_s0,model,MTest-3000,0.04033298889907617,792,3000,1779
C8_dinov3l_grid4x4_rand_30000_s0,model,SimVerb-3500,0.02680467784836578,493,3500,1779
C8_dinov3l_grid4x4_rand_30000_s1,model,wordsim353,0.045103652132327074,47,352,1866
C8_dinov3l_grid4x4_rand_30000_s1,model,simlex999,-0.07232542691820089,195,999,1866
C8_dinov3l_grid4x4_rand_30000_s1,model,rg65,,4,65,1866
C8_dinov3l_grid4x4_rand_30000_s1,model,MTest-3000,0.0515943350517587,755,3000,1866
C8_dinov3l_grid4x4_rand_30000_s1,model,SimVerb-3500,0.0250656166735114,475,3500,1866
C8_dinov3l_grid4x4_rand_30000_s2,model,wordsim353,-0.02175592245126441,36,352,1856
C8_dinov3l_grid4x4_rand_30000_s2,model,simlex999,0.011092710830348108,191,999,1856
C8_dinov3l_grid4x4_rand_30000_s2,model,rg65,,3,65,1856
C8_dinov3l_grid4x4_rand_30000_s2,model,MTest-3000,0.038588590005485104,799,3000,1856
C8_dinov3l_grid4x4_rand_30000_s2,model,SimVerb-3500,0.02956540830986205,523,3500,1856
C8_dinov3l_grid4x4_rand_30000_s3,model,wordsim353,0.05001641796520797,38,352,1817
C8_dinov3l_grid4x4_rand_30000_s3,model,simlex999,0.04968131131732652,182,999,1817
C8_dinov3l_grid4x4_rand_30000_s3,model,rg65,,2,65,1817
C8_dinov3l_grid4x4_rand_30000_s3,model,MTest-3000,0.006267244187563025,738,3000,1817
C8_dinov3l_grid4x4_rand_30000_s3,model,SimVerb-3500,0.0428174735260828,506,3500,1817
C8_dinov3l_grid4x4_rand_30000_s4,model,wordsim353,0.05084636768531214,36,352,1848
C8_dinov3l_grid4x4_rand_30000_s4,model,simlex999,0.037282515281626405,200,999,1848
C8_dinov3l_grid4x4_rand_30000_s4,model,rg65,,3,65,1848
C8_dinov3l_grid4x4_rand_30000_s4,model,MTest-3000,0.06245751847829349,738,3000,1848
C8_dinov3l_grid4x4_rand_30000_s4,model,SimVerb-3500,-0.03385397793468322,549,3500,1848
C8_dinov3l_grid4x4_rand_30000_s5,model,wordsim353,-0.04357018814808028,43,352,1852
C8_dinov3l_grid4x4_rand_30000_s5,model,simlex999,-0.09427977976224307,191,999,1852
C8_dinov3l_grid4x4_rand_30000_s5,model,rg65,,2,65,1852
C8_dinov3l_grid4x4_rand_30000_s5,model,MTest-3000,0.03245360881086769,833,3000,1852
C8_dinov3l_grid4x4_rand_30000_s5,model,SimVerb-3500,-0.039943876185923204,521,3500,1852
C8_dinov3l_grid4x4_rand_30000_s6,model,wordsim353,-0.03209112735768681,47,352,1849
C8_dinov3l_grid4x4_rand_30000_s6,model,simlex999,0.0016448089265954117,177,999,1849
C8_dinov3l_grid4x4_rand_30000_s6,model,rg65,,6,65,1849
C8_dinov3l_grid4x4_rand_30000_s6,model,MTest-3000,-0.05858630466799516,818,3000,1849
C8_dinov3l_grid4x4_rand_30000_s6,model,SimVerb-3500,0.03177218754827151,502,3500,1849
C8_dinov3l_grid4x4_rand_30000_s7,model,wordsim353,-0.15847251170367405,40,352,1876
C8_dinov3l_grid4x4_rand_30000_s7,model,simlex999,0.06363339272484148,191,999,1876
C8_dinov3l_grid4x4_rand_30000_s7,model,rg65,,6,65,1876
C8_dinov3l_grid4x4_rand_30000_s7,model,MTest-3000,-0.004208428076921568,770,3000,1876
C8_dinov3l_grid4x4_rand_30000_s7,model,SimVerb-3500,0.049247794111848237,544,3500,1876
C8_dinov3l_grid4x4_rand_3000_s0,model,wordsim353,,5,352,387
C8_dinov3l_grid4x4_rand_3000_s0,model,simlex999,,19,999,387
C8_dinov3l_grid4x4_rand_3000_s0,model,rg65,,0,65,387
C8_dinov3l_grid4x4_rand_3000_s0,model,MTest-3000,0.004387950163979659,74,3000,387
C8_dinov3l_grid4x4_rand_3000_s0,model,SimVerb-3500,-0.0954763341284563,91,3500,387
C8_dinov3l_grid4x4_rand_3000_s1,model,wordsim353,,1,352,385
C8_dinov3l_grid4x4_rand_3000_s1,model,simlex999,,15,999,385
C8_dinov3l_grid4x4_rand_3000_s1,model,rg65,,0,65,385
C8_dinov3l_grid4x4_rand_3000_s1,model,MTest-3000,0.05694679938362267,70,3000,385
C8_dinov3l_grid4x4_rand_3000_s1,model,SimVerb-3500,-0.09464510058003965,118,3500,385
C8_dinov3l_grid4x4_rand_3000_s2,model,wordsim353,,3,352,388
C8_dinov3l_grid4x4_rand_3000_s2,model,simlex999,,14,999,388
C8_dinov3l_grid4x4_rand_3000_s2,model,rg65,,0,65,388
C8_dinov3l_grid4x4_rand_3000_s2,model,MTest-3000,0.025975004968043336,74,3000,388
C8_dinov3l_grid4x4_rand_3000_s2,model,SimVerb-3500,-0.08230638533754879,82,3500,388
C8_dinov3l_grid4x4_rand_3000_s3,model,wordsim353,,1,352,381
C8_dinov3l_grid4x4_rand_3000_s3,model,simlex999,,15,999,381
C8_dinov3l_grid4x4_rand_3000_s3,model,rg65,,0,65,381
C8_dinov3l_grid4x4_rand_3000_s3,model,MTest-3000,0.051694908497544635,60,3000,381
C8_dinov3l_grid4x4_rand_3000_s3,model,SimVerb-3500,-0.18770399670958818,94,3500,381
C8_dinov3l_grid4x4_rand_3000_s4,model,wordsim353,,0,352,383
C8_dinov3l_grid4x4_rand_3000_s4,model,simlex999,,10,999,383
C8_dinov3l_grid4x4_rand_3000_s4,model,rg65,,0,65,383
C8_dinov3l_grid4x4_rand_3000_s4,model,MTest-3000,-0.11535161288357079,64,3000,383
C8_dinov3l_grid4x4_rand_3000_s4,model,SimVerb-3500,0.07360662869466825,83,3500,383
C8_dinov3l_grid4x4_rand_3000_s5,model,wordsim353,,4,352,379
C8_dinov3l_grid4x4_rand_3000_s5,model,simlex999,,18,999,379
C8_dinov3l_grid4x4_rand_3000_s5,model,rg65,,0,65,379
C8_dinov3l_grid4x4_rand_3000_s5,model,MTest-3000,-0.1532402857318567,83,3000,379
C8_dinov3l_grid4x4_rand_3000_s5,model,SimVerb-3500,0.19342778591821996,92,3500,379
C8_dinov3l_grid4x4_rand_3000_s6,model,wordsim353,,5,352,386
C8_dinov3l_grid4x4_rand_3000_s6,model,simlex999,,19,999,386
C8_dinov3l_grid4x4_rand_3000_s6,model,rg65,,0,65,386
C8_dinov3l_grid4x4_rand_3000_s6,model,MTest-3000,-0.0515828409886608,91,3000,386
C8_dinov3l_grid4x4_rand_3000_s6,model,SimVerb-3500,-0.010416145887017888,92,3500,386
C8_dinov3l_grid4x4_rand_3000_s7,model,wordsim353,,2,352,403
C8_dinov3l_grid4x4_rand_3000_s7,model,simlex999,,16,999,403
C8_dinov3l_grid4x4_rand_3000_s7,model,rg65,,0,65,403
C8_dinov3l_grid4x4_rand_3000_s7,model,MTest-3000,-0.14870514775612315,68,3000,403
C8_dinov3l_grid4x4_rand_3000_s7,model,SimVerb-3500,0.1966671156527719,107,3500,403
bv26_base,w2v,wordsim353,0.35848161256779304,254,352,16205
bv26_base,w2v,simlex999,0.29147805301172797,821,999,16205
bv26_base,w2v,rg65,0.4583726667125147,43,65,16205
bv26_base,w2v,MTest-3000,0.5248491051370666,2707,3000,16205
bv26_base,w2v,SimVerb-3500,0.17883582879425028,2486,3500,16205
bv26_rand_1000000_s0,w2v,wordsim353,0.299948387284337,214,352,12218
bv26_rand_1000000_s0,w2v,simlex999,0.2975064712162367,732,999,12218
bv26_rand_1000000_s0,w2v,rg65,0.663206137787129,27,65,12218
bv26_rand_1000000_s0,w2v,MTest-3000,0.48268223318017717,2537,3000,12218
bv26_rand_1000000_s0,w2v,SimVerb-3500,0.1839860657850668,2182,3500,12218
bv26_rand_100000_s0,w2v,wordsim353,0.30968480189173225,79,352,3654
bv26_rand_100000_s0,w2v,simlex999,0.1217708601592188,364,999,3654
bv26_rand_100000_s0,w2v,rg65,,11,65,3654
bv26_rand_100000_s0,w2v,MTest-3000,0.31628797778769924,1343,3000,3654
bv26_rand_100000_s0,w2v,SimVerb-3500,0.06726146326941923,979,3500,3654
bv26_rand_10000_s0,w2v,wordsim353,,15,352,916
bv26_rand_10000_s0,w2v,simlex999,-0.22865239282864996,67,999,916
bv26_rand_10000_s0,w2v,rg65,,0,65,916
bv26_rand_10000_s0,w2v,MTest-3000,0.11158025352754107,372,3000,916
bv26_rand_10000_s0,w2v,SimVerb-3500,-0.013529466047789658,269,3500,916
bv26_rand_300000_s0,w2v,wordsim353,0.1636069610123101,149,352,6739
bv26_rand_300000_s0,w2v,simlex999,0.2382510419903921,558,999,6739
bv26_rand_300000_s0,w2v,rg65,,17,65,6739
bv26_rand_300000_s0,w2v,MTest-3000,0.3576064447095815,2027,3000,6739
bv26_rand_300000_s0,w2v,SimVerb-3500,0.10106015972022564,1575,3500,6739
bv26_rand_30000_s0,w2v,wordsim353,0.2652202306450027,37,352,1778
bv26_rand_30000_s0,w2v,simlex999,0.0007076138480810492,175,999,1778
bv26_rand_30000_s0,w2v,rg65,,2,65,1778
bv26_rand_30000_s0,w2v,MTest-3000,0.2689675551598352,792,3000,1778
bv26_rand_30000_s0,w2v,SimVerb-3500,0.019745076186802588,493,3500,1778
bv26_rand_3000_s0,w2v,wordsim353,,5,352,386
bv26_rand_3000_s0,w2v,simlex999,,19,999,386
bv26_rand_3000_s0,w2v,rg65,,0,65,386
bv26_rand_3000_s0,w2v,MTest-3000,-0.08239265882229371,74,3000,386
bv26_rand_3000_s0,w2v,SimVerb-3500,0.1475999598441417,91,3500,386
